고양이	cat
공룡	dinosour
개	dog
거북이	turtle
토끼	rabbit
뱀	snake
사자	lion
호랑이	tiger
표범	leopard
치타	cheetah
하이에나	hyena
기린	giraffe
코끼리	elephant
코뿔소	rhinoceros
하마	hippopotamus
악어	crocodile
펭귄	penguin
올빼미	owl
곰	bear
돼지	pig
소	cow
닭	chicken
독수리	eagle
타조	ortrich
고릴라	gorilla
오랑우탄	orangutan
침팬지	chimpanzee
원숭이	monkey
코알라	koala
캥거루	kangaroo
고래	whale
상어	shark
칠면조	turkey
쥐	mouse
앵무새	parrot
삵	wildcat
판다	panda
오소리	badger
오리	duck
거위	goose
백조	swan
학	crane
고슴도치	hedgehog
두더지	mole
너구리	racoon
개구리	frog
카멜레온	chameleon
이구아나	iguana
사슴	deer
제비	swallow
까치	magpie
수달	otter
당나귀	donkey
염소	goat
박쥐	bat
참새	sparrow
물개	seal
얼룩말	zebra
퓨마	puma
미어캣	meerkat
코요테	coyote
라마	lama
스컹크	skunk
돌고래	dolphin
낙타	camel
여우	fox
늑대	wolf
재규어	jaguar
알파카	alpaca
양	sheep
다람쥐	squirrel
